ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,detailed-label
1545413894.100967,CihC1t4aLLFT2TXzyl,192.168.1.195,51632,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,Malicious,C&C
1547146385.081646,CykQ3576QlGU78HL3,192.168.1.198,50234,142.11.219.83,45,tcp,-,3.148710,0,0,S0,-,-,0,S,3,180,0,0,-,Malicious,C&C
1547146491.351864,CYmurr3UPYao4I5Wj,192.168.1.198,50302,142.11.219.83,45,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,Malicious,C&C
1547148091.492880,CIe0Gs2XeBbVDVsi91,192.168.1.198,51868,142.11.219.83,45,tcp,-,3.138724,0,0,S0,-,-,0,S,3,180,0,0,-,Malicious,C&C
1547077623.058128,CnqV9cpe2UpCtgRG8,192.168.1.194,48004,45.58.183.18,6667,tcp,irc,40.981583,71,440,SF,-,-,0,ShADdafF,11,651,9,916,-,Malicious,C&C
1551405173.288285,Cf8YJF363jex61crMi,192.168.1.193,52428,134.209.72.171,4554,tcp,-,3.129471,0,0,S0,-,-,0,S,6,360,0,0,-,Malicious,C&C
1533081645.052016,CfpnOzsemoHkPG92h,192.168.100.113,45052,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,C&C
1545415681.276922,CE7INO3eJ4ocj4bbfb,192.168.1.195,52258,185.244.25.235,6667,tcp,irc,4.092169,75,243,S3,-,-,0,ShAdDaf,10,619,6,563,-,Malicious,C&C
1533116462.331114,CpYVTu3Wc4lz9i5iCc,192.168.100.113,46792,178.128.185.250,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,C&C
1533048687.695311,CsTEpK2F4p5NiMrAV7,192.168.100.113,34224,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,C&C
1547077862.407332,C9Vm0s4KZfW6dVg7z9,192.168.1.194,60696,82.76.255.62,6667,tcp,-,-,-,-,SH,-,-,0,F,1,40,0,0,-,Malicious,C&C
1545486217.940932,CmmBTi479bgboN7Z3d,192.168.1.195,56684,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,Malicious,C&C
1533104168.254224,CjkW8H38UcNeM3WtRh,192.168.100.113,36996,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,C&C
1533094826.494177,CNCjxm2D98Hb1OWOj2,192.168.100.113,36528,128.185.250.50,50,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,(empty),Malicious,C&C
1545459302.899983,CmgkbyHyy11Ns7S8k,192.168.1.195,53726,185.244.25.235,6667,tcp,-,-,-,-,S0,-,-,0,S,1,60,0,0,-,Malicious,C&C
